,malus,bewertung
0,1,-112558.22
1,2,-104623.4
2,3,-100615.3
3,4,-97441.86
4,5,-95077.91
5,6,-93013.49
6,7,-91337.65000000001
7,8,-90105.44
8,9,-88967.39000000001
9,10,-88091.79999999999
10,11,-87069.38
11,12,-86415.9
12,13,-85789.67
13,14,-85590.74
14,15,-85249.68000000001
15,16,-84673.73000000001
16,17,-84193.04999999999
17,18,-83805.66
18,19,-83266.83
19,20,-82773.1
20,21,-82415.32
21,22,-81924.76999999999
22,23,-81650.97
23,24,-81329.56
24,25,-81008.43
25,26,-80787.73999999999
26,27,-80442.59
27,28,-80165.01999999999
28,29,-79813.75
29,30,-79443.75
30,31,-79138.26
31,32,-78909.32999999999
32,33,-78638.66
33,34,-78338.3
34,35,-78139.05
35,36,-77984.32
36,37,-77702.91
37,38,-77522.31
38,39,-77303.35
39,40,-77123.35
40,41,-76970.05000000002
41,42,-76783.61000000002
42,43,-76621.77
43,44,-76501.55
44,45,-76404.97
45,46,-76194.63
46,47,-76054.63
47,48,-75902.83
48,49,-75782.42000000001
49,50,-75608.61
50,51,-75448.61
51,52,-75301.54999999999
52,53,-75120.08
53,54,-75045.56
54,55,-74937.5
55,56,-74748.0
56,57,-74608.0
57,58,-74468.0
58,59,-74408.62
59,60,-74308.62
60,61,-74144.56
61,62,-73963.88
62,63,-73831.85999999999
63,64,-73721.75
64,65,-73561.75
65,66,-73457.39
66,67,-73327.39
67,68,-73207.39
68,69,-73038.64
69,70,-72887.38
70,71,-72797.38
71,72,-72724.9
72,73,-72614.9
73,74,-72463.65
74,75,-72355.25
75,76,-72274.54999999999
76,77,-72184.88
77,78,-72100.63
78,79,-72008.73
79,80,-72007.41
80,81,-71893.28
81,82,-71843.69
82,83,-71763.69
83,84,-71691.07999999999
84,85,-71641.07999999999
85,86,-71551.07999999999
86,87,-71507.06
87,88,-71487.06
88,89,-71417.06
89,90,-71377.06
90,91,-71351.58
91,92,-71268.73
92,93,-71207.79
93,94,-71077.79
94,95,-71000.39
95,96,-70930.39
96,97,-70838.95000000001
97,98,-70801.54000000001
98,99,-70772.73
99,100,-70692.73
100,101,-70668.31999999999
101,102,-70621.99
102,103,-70541.99
103,104,-70492.25
104,105,-70387.92
105,106,-70307.92
106,107,-70225.7
107,108,-70155.7
108,109,-70075.7
109,110,-70025.45
110,111,-69975.45
111,112,-69895.45
112,113,-69835.45
113,114,-69735.45
114,115,-69715.39
115,116,-69645.39
116,117,-69575.39
117,118,-69536.45999999999
118,119,-69419.12
119,120,-69369.12
120,121,-69328.94
121,122,-69248.94
122,123,-69185.65
123,124,-69130.91
124,125,-69126.85
125,126,-69096.85
126,127,-69043.63
127,128,-69033.63
128,129,-69021.95
129,130,-69000.81
130,131,-68974.87
131,132,-68924.87
132,133,-68864.87
133,134,-68824.87
134,135,-68764.87
135,136,-68734.87
136,137,-68664.87
137,138,-68626.12999999999
138,139,-68606.51
139,140,-68543.13
140,141,-68491.70999999999
141,142,-68491.70999999999
142,143,-68451.18
143,144,-68361.18
144,145,-68290.36
145,146,-68240.36
146,147,-68220.36
147,148,-68191.98
148,149,-68151.98
149,150,-68111.98
150,151,-68091.98
151,152,-68051.98
152,153,-67984.53
153,154,-67954.53
154,155,-67950.92000000001
155,156,-67892.08
156,157,-67851.08
157,158,-67801.08
158,159,-67755.03
159,160,-67725.03
160,161,-67675.03
161,162,-67635.03
162,163,-67595.03
163,164,-67575.83
164,165,-67520.79999999999
165,166,-67500.93
166,167,-67469.2
167,168,-67399.2
168,169,-67339.2
169,170,-67309.2
170,171,-67239.2
171,172,-67219.2
172,173,-67219.13
173,174,-67172.13
174,175,-67102.13
175,176,-67052.13
176,177,-67002.13
177,178,-66960.01000000001
178,179,-66886.67000000001
179,180,-66856.67000000001
180,181,-66796.67000000001
181,182,-66726.67000000001
182,183,-66686.67000000001
183,184,-66657.02
184,185,-66596.69
185,186,-66524.85
186,187,-66485.81
187,188,-66452.48999999999
188,189,-66402.48999999999
189,190,-66364.95
190,191,-66314.95
191,192,-66284.95
192,193,-66254.95
193,194,-66178.98999999999
194,195,-66140.69
195,196,-66140.69
196,197,-66129.87
197,198,-66089.87
198,199,-66069.87
