,LGMB Classifier,XGB Simple Classifier,XGBClassifier
precision,0.8423002398810395,0.8426271004012904,0.8417555888061126
recall,0.5516560091818331,0.552820680985954,0.548616439853528
f1,0.6666312172172395,0.6675191307967909,0.6642392026759391
mcc,0.6743642435679381,0.6751982106089572,0.6722416850705615
damage_total,6015.164,6015.164,6015.164
damage_prevented,3550.626,3555.678,3527.9080000000004
damage_missed,2464.538,2459.486,2487.2560000000003
detected bonus,2360.0,2365.0,2347.0
fp penalty,884.0,882.0,882.0
Bewertung,-988.5380000000001,-976.4860000000001,-1022.2559999999997
cm,"[[28585.4    88.4]
 [  383.6   472. ]]","[[28585.6    88.2]
 [  382.6   473. ]]","[[28585.6    88.2]
 [  386.2   469.4]]"
