,LGMB Classifier,XGB Simple Classifier,XGBClassifier
precision,0.8449218373966005,0.8413184161313365,0.8409889449549498
recall,0.5544611138437995,0.5535213422965513,0.5516532764934142
f1,0.6695141837893981,0.667699883735063,0.6661983835197212
mcc,0.6772250450865562,0.6751234986424178,0.6738016847192261
damage_total,6015.164,6015.164,6015.164
damage_prevented,3566.818,3559.978,3540.816
damage_missed,2448.3459999999995,2455.186,2474.348
detected bonus,2372.0,2368.0,2360.0
fp penalty,870.0,892.0,892.0
Bewertung,-946.3459999999999,-979.186,-1006.348
cm,"[[28586.8    87. ]
 [  381.2   474.4]]","[[28584.6    89.2]
 [  382.    473.6]]","[[28584.6    89.2]
 [  383.6   472. ]]"
